ID,Title,Content,Date,Slug,Status,"Image Featured",wpcf-in-the-news-published-date,in_the_news_source,in_the_news_og_article_url,in_the_news_date,in_the_news_image,in_the_news_image_url,"Featured on Listing Page?",perspective_business_sector,"Content Series Applied",news_slider_short_title,in_the_news_summury,"Mobile Featured Image","Push notification","Publish on mobile ?",_wpml_import_language_code,_wpml_import_source_language_code,_wpml_import_translation_group
13022,"Abdul Latif Jameel Energy starts construction on Jordan solar projects that will power 80,000 homes","<p>Gulf News article about Fotowatio Renewable Ventures (FRV), part of Abdul Latif Jameel Energy, starting construction on two of the largest solar PV projects in Jordan that will provide 80,000 homes with clean energy.</p>","2017-08-17 07:20:32",abdul-latif-jameel-energy-starts-construction-jordan-solar-projects-will-power-80000-homes,publish,https://media.alj.com/app/uploads/2017/05/His-Excellency-Dr.-Ibrahim-Saif-Minister-of-Energy-and-Mineral-Resources-and-Roberto-de-Diego-Arozamena-Chief-Executive-Officer-of-Abdul-Latif-Jameel-Energy-375x208.png,1496102400,"Gulf News",http://gulfnews.com/news/mena/jordan/abdul-latif-jameel-energy-starts-construction-on-jordan-solar-projects-that-will-power-80-000-homes-1.2035411,"May 30, 2017",78991,https://media.alj.com/app/uploads/2020/10/gulf-news.jpg,,,,,"<p>Fotowatio Renewable Ventures (FRV), part of Abdul Latif Jameel Energy, has started construction on two of the largest solar PV projects in Jordan that will provide 80,000 homes with clean energy, it was announced today.</p>
",https://media.alj.com/app/uploads/2017/08/HisExcellencyDrIbrahim.jpg,no,,en,,3632
13023,"Community Jameel and MIT help transform education in Saudi Arabia and around the world","<p>Community Jameel and the Massachusetts Institute of Technology (MIT) are creating a new global education laboratory that supports education and learning in Saudi Arabia, the Middle East and around the world, reports Gulf News.</p>","2017-08-17 07:28:55",community-jameel-mit-help-transform-education-saudi-arabia-around-world,publish,https://media.alj.com/app/uploads/2017/05/MIT-President-L.-Rafael-Reif-Fady-Mohammed-Jameel-President-of-Community-Jameel-International.jpg,1493769600,"Gulf News",http://gulfnews.com/news/uae/education/community-jameel-and-mit-help-transform-education-in-saudi-arabia-and-around-the-world-1.2021200,"May 3, 2017",78991,https://media.alj.com/app/uploads/2020/10/gulf-news.jpg,,,,,"<p>Community Jameel and the Massachusetts Institute of Technology (MIT) are creating a new global education laboratory that supports education and learning in Saudi Arabia, the Middle East and around the world.</p>
",https://media.alj.com/app/uploads/2017/08/MITPresidentLRafaelReifFadyMohammedJameelPresidentofCommunityJameelInternational.jpg,no,,en,,3633
13024,"Art Jameel expands at home and abroad","<p>The non-profit organisation Art Jameel chose Dubai’s Art Week to announce both the opening of both a major contemporary arts institution in Dubai and a new long-term acquisitions partnership with The Metropolitan Museum of Art, reports Harper's Bazaar.</p>","2017-08-17 07:32:40",art-jameel-expand-home-abroad,publish,https://media.alj.com/app/uploads/2017/05/Jameel-Arts-Centre-northside-view-from-the-Creek-Serie-Architects.jpg,1489622400,"Harper's Bazaar",http://www.harpersbazaararabia.com/art/news/art-jameel-expand-at-home-and-abroad,"March 16, 2017",78998,https://media.alj.com/app/uploads/2020/10/harpers-bazzar-arabia.jpg,,,,,"<p>The non-profit organisation Art Jameel chose Dubai’s Art Week to announce both the opening of both a major contemporary arts institution in Dubai and a new long-term acquisitions partnership with The Metropolitan Museum of Art.</p>
",https://media.alj.com/app/uploads/2017/11/JameelArtsCentrenorthsideviewfromtheCreekSerieArchitects.jpg,no,,en,,3634
13026,"New technology could offer cheaper, faster food testing","<p>Researchers at the Massachusetts Institute of Technology (MIT) have developed a new sensor that uses smartphone technology to detect harmful bacteria in food, including Escherichia coli (E.coli), reports Arab News.</p>","2017-08-17 07:38:34",new-technology-offer-cheaper-faster-food-testing,publish,https://media.alj.com/app/uploads/2016/11/j-wafs_2_0-thumb.jpg,1494374400,"Arab News",http://www.arabnews.com/node/1097061/corporate-news,"May 10, 2017",79159,https://media.alj.com/app/uploads/2020/10/arab-news.jpg,,,,,"<p>Researchers at the Massachusetts Institute of Technology (MIT) have developed a new sensor that uses smartphone technology to detect harmful bacteria in food, including Escherichia coli (E.coli). The sensor was developed by the research lab of Timothy Swager, the John D. MacArthur professor of chemistry at MIT, in a project supported by MIT’s Abdul Latif Jameel World Water and Food Security Lab (J-WAFS) Solutions program.</p>
",https://media.alj.com/app/uploads/2017/08/jwafs20thumb.jpg,no,,en,,3635
13027,"Abdul Latif Jameel to bring revolutionary spinal treatment technology to Saudi Arabia","<p>Abdul Latif Jameel signed a Memorandum of Understanding (MoU) with Japanese company CYBERDYNE, Inc. to bring state-of-the-art technology to Saudi Arabia that helps patients who have suffered traumatic spinal injuries, reports Saudi Gazette.</p>","2017-08-17 07:42:23",abdul-latif-jameel-bring-revolutionary-spinal-treatment-technology-saudi-arabia,publish,https://media.alj.com/app/uploads/2017/05/HAL-Technology.jpg,1489622400,"Saudi Gazette",http://saudigazette.com.sa/article/174912/Abdul-Latif-Jameel-to-bring-revolutionary-spinal-treatment-technology-to-Kingdom,"March 16, 2017",79061,https://media.alj.com/app/uploads/2020/10/saudi-gazette.jpg,,,,,"<p>Abdul Latif Jameel on Wednesday signed a Memorandum of Understanding (MoU) with Japanese company CYBERDYNE, Inc. to bring state-of-the-art technology to Saudi Arabia that helps patients who have suffered traumatic spinal injuries.</p>
",https://media.alj.com/app/uploads/2017/08/HALTechnology.jpg,no,,en,,3636
13028,"Abdul Latif Jameel Energy set to contribute to Saudi Arabia renewable energy vision","<p><a href=""https://www.alj.com/en/energy-and-environmental-services/energy-overview/"">Abdul Latif Jameel Energy and Environmental Services</a>, which recently celebrated the first anniversary of its acquisition of Fotowatio Renewable Ventures (FRV), a leading global developer of large-scale solar power plants, has reaffirmed its readiness to support Saudi Arabia’s national agenda for a renewable energy industry, reports Saudi Gazette.</p>","2017-08-17 07:48:15",abdul-latif-jameel-energy-set-contribute-saudi-arabia-renewable-energy-vision,publish,https://media.alj.com/app/uploads/2016/10/alj-global-solar-energy-market.jpg,1465171200,"Saudi Gazette",http://saudigazette.com.sa/article/156546/Abdul-Latif-Jameel-Energy-set-to-contribute-to-Saudi-renewable-energy-vision,"June 6, 2016",79061,https://media.alj.com/app/uploads/2020/10/saudi-gazette.jpg,,,,,"<p>Abdul Latif Jameel Energy and Environmental Services, which recently celebrated the first anniversary of its acquisition of Fotowatio Renewable Ventures (FRV), a leading global developer of large-scale solar power plants, has reaffirmed its readiness to support Saudi Arabia’s national agenda for a renewable energy industry, as outlined in the Vision 2030 plan.</p>
",https://media.alj.com/app/uploads/2017/08/aljglobalsolarenergymarket.jpg,no,,en,,3637
13029,"Abdul Latif Jameel Land develops its first residential complex in Saudi Arabia","<p>Abdul Latif Jameel Land, announced its first residential project in Saudi Arabia, the J One Complex, located in Jeddah, reports Saudi Gazette.</p>","2017-08-17 07:52:19",abdul-latif-jameel-land-develops-first-residential-complex-saudi-arabia,publish,https://media.alj.com/app/uploads/2016/11/rafic_kreidie_and_mohammed_jameel_signing.jpg,1470009600,"Saudi Gazette",http://saudigazette.com.sa/article/160344/Abdul-Latif-Jameel-Land-develops-its-first-residential-complex-in-KSA,"August 1, 2016",79061,https://media.alj.com/app/uploads/2020/10/saudi-gazette.jpg,,,,,"<p>Abdul Latif Jameel Land announced its first residential project in Saudi Arabia – the J One Complex - located in Jeddah. The new project is a vertical residential complex comprising of 242 apartments, scheduled for completion by 2018.</p>
",https://media.alj.com/app/uploads/2017/08/rafickreidieandmohammedjameelsigning.jpg,no,,en,,3638
13030,"Mohammed Abdul Latif Jameel receives honorary knighthood","<p><a href=""https://alj.com/en/our-people/mohammed-abdul-latif-jameel/"">Mohammed Abdul Latif Jameel</a> has received an honorary knighthood from Her Majesty Queen Elizabeth II, for his philanthropic activities and support for the development of the arts and culture in the UK, reports Al Arabiya.</p>","2017-08-17 08:00:19",mohammed-abdul-latif-jameel-receives-honorary-knighthood,publish,https://media.alj.com/app/uploads/2016/11/mohammed_abdul_latif_jameel_honorary_knighthood_riyadh_10.2.15.jpg,1423958400,"Al Arabiya",http://english.alarabiya.net/en/variety/2015/02/15/Saudi-philanthropist-Mohammed-Jameel-receives-honorary-knighthood.html,"February 15, 2015",79145,https://media.alj.com/app/uploads/2020/10/al-arabiya-english.jpg,,,,,"<p><a href=""https://www.alj.com/en/our-people/mohammed-abdul-latif-jameel/"">Mohammed Abdul Latif Jameel</a> has received an honorary knighthood from the Queen of England for his philanthropic activities and support for the development of the arts and culture in the UK.</p>
",https://media.alj.com/app/uploads/2017/08/mohammedabdullatifjameelhonoraryknighthoodriyadh.jpg,no,,en,,3639
13032,"محمد عبد اللطيف جميل يحصل على لقب الفارس الشرفي من بريطانيا","<p>تسلم السيد محمد عبد اللطيف جميل لقب الفارس الفخري من ملكة بريطانيا عن أنشطته الخيرية ودعمه لتطوير الفنون والثقافة في المملكة المتحدة.</p>","2017-08-17 08:00:19",mohammed-abdul-latif-jameel-receives-honorary-knighthood,publish,https://media.alj.com/app/uploads/2016/11/mohammed_abdul_latif_jameel_honorary_knighthood_riyadh_10.2.15.jpg,1423958400,العربية,http://www.thenational.ae/blogs/the-art-blog/mohammed-abdul-latif-jameel-receives-honorary-knighthood,"February 15, 2015",79104,https://media.alj.com/app/uploads/2020/10/the-national.jpg,,,,,"<p>تسلم السيد محمد عبد اللطيف جميل لقب الفارس الفخري من ملكة بريطانيا عن أنشطته الخيرية ودعمه لتطوير الفنون والثقافة في المملكة المتحدة.</p>
",,no,,ar,en,3639
13034,"عبد اللطيف جميل للأراضي تنشئ مجمّعها السّكني الأول في المملكة العربية السعودية","<p>أعلنت شركة عبد اللطيف جميل للأراضي عن إنشاء مشروعها السّكني الأول في المملكة العربية السعودية - مجمّع (J One) الذي يتخذ من جدة موقعاً له. وتتولى شركة سكن جميل للتطوير العقاري تشييد هذا المشروع الجديد، وهو مجمع سكني عمودي يضم 242 شقة ومن المقرر انتهاء العمل عليه بحلول عام 2018.</p>","2017-08-17 07:52:19",abdul-latif-jameel-land-develops-first-residential-complex-saudi-arabia,publish,https://media.alj.com/app/uploads/2016/11/rafic_kreidie_and_mohammed_jameel_signing.jpg,1470009600,"سعودي جازيت",http://saudigazette.com.sa/business/abdul-latif-jameel-land-develops-first-residential-complex-ksa/,"August 1, 2016",79062,https://media.alj.com/app/uploads/2020/10/saudi-gazette.jpg,,,,,"<p>أعلنت شركة عبد اللطيف جميل للأراضي عن إنشاء مشروعها السّكني الأول في المملكة العربية السعودية - مجمّع (J One) الذي يتخذ من جدة موقعاً له. وتتولى شركة سكن جميل للتطوير العقاري تشييد هذا المشروع الجديد، وهو مجمع سكني عمودي يضم 242 شقة ومن المقرر انتهاء العمل عليه بحلول عام 2018.</p>
",,no,,ar,en,3638
