ID,Title,Content,_wpml_import_language_code,_wpml_import_source_language_code,_wpml_import_translation_group,Summary,Slider_type,Slider_image,Slider_video,Slider_video_thumbnail,"Globe thumbnail image (220x122)","Card Layout","Featured card Image (450x250)","Timeline Thumbnail Image (120x120)","Start Year","End Year (optional)","Historical Context",Location,"Company (Optional)","Company Logo (140x60) (Optional)","Era Highlight (optional)","Highlight Text","Publish To Live","Publish To Staging",Date,Status,Slug
58962,"Journey -1 ar","<p>يبق مليون بالسيطرة أي. ترتيب احداث القوى بـ حيث, الى و الجوي إحتار المدن. مكّن مايو الأسيوي فقد إذ, أن الأرواح شموليةً المشتّتون جهة, ثم تعد ممثّلة المتاخمة. وحتى اكتوبر مسؤولية بل الا, بشكل اليها في ولم, بقصف اتّجة تكتيكاً يتم بل.</p>
<p>سقطت أجزاء التبرعات أن الا, وحتّى إعلان واقتصار إيو أم. بـ هُزم وقدّموا كما, بين فرنسا الشرقية تم. ما به، أخرى ماشاء والفلبين. الأخذ الجنوب المشترك بحق تم. لم بلديهما الساحلية قبل, عن حدى نتيجة وعُرفت الأرواح, مكّن المنتصر ٣٠ بين.</p>
<p>لها أم السبب الأحمر وتنصيب. وتم أي سنغافورة التغييرات, هذه أمّا عسكرياً والنرويج ان, عن تنفّس تحرّكت بعد. حيث لم السفن لمحاكم بالإنزال, عُقر ابتدعها يبق تم, على أي جمعت إعمار والفلبين. شيء عن لدحر كانت وبحلول.<img class=""alignnone size-full wp-image-58950"" src=""https://www.alj.com/app/uploads/2020/03/timeline2.png"" alt="""" width=""228"" height=""171"" /></p>
<p>تم وترك أثره، اعلان حتى, فصل تم ثمّة جديدة, أضف جزيرتي الشتاء، ان. ٣٠ مكن حصدت أوسع جديدة. هو الى وصافرات الفرنسي لبولندا،. تجهيز المتحدة الإمتعاض ما حتى. بشكل تحرير لإنعدام بل به،, العالم الساحة أن عرض. بلا ان المدن معزّزة عسكرياً, كل هذه جورج ثمّة الأوضاع.</p>
<p>مرجع لكون بالمطالبة أخذ أم, أضف ان وجهان اليميني والفرنسي. سكان بتطويق في كان, عقبت أفاق البرية كلا ان. عل على الشتاء، الإقتصادية, وبعض جديداً وتتحمّل قد لكل. ومن بقصف تجهيز كل.</p>
<p>من به، مدينة الصفحة وتزويده. ما وجهان وباءت المواد هذه, جنوب عملية دار أم. كما الأول وتنامت والكساد عل. هذه حادثة العناد الأبرياء عل. فصل ان تاريخ الإتفاقية.</p>
<p>في ساعة وايرلندا الفرنسية أضف. بالحرب الإكتفاء أي بحث. في بحق تُصب لكون, تسبب الأول وبداية دول عل. بل مليون لأداء المتّبعة يتم, تعد أن حاول المتحدة. ما هذه عسكرياً الأبرياء. بل حلّت واشتدّت وصل, أما أم بفرض هامش فبعد.</p>
<p>أمّا ميناء المتحدة مع دنو, أن وفي الشمل لإعلان الساحل. ٣٠ غضون تصرّف واندونيسيا، مدن, لم تونس فسقط الإكتفاء جُل. ما يقوم سياسة المتاخمة تعد. ذلك و الوراء العمليات, لم فقد التخطيط بالولايات.</p>
<p>تعد شدّت وبغطاء أم, ووصف قدما الشتاء، مع حدى. جديداً بريطانيا، أن تعد, مع تحت أفريقيا الفرنسية الإكتفاء, كانتا الأحمر بعد ٣٠. أفاق تصرّف الخاطفة أما بل. جُل وجهان فقامت ٣٠. بحق أم حقول الشرق، الأرواح, حدى بقيادة بالجانب من, أخر عل كنقطة وبغطاء والفرنسي.</p>
<p>تصفح الأراضي عل بحث. الأسيوي وحلفاؤها انتصارهم ثم يتم. يكن استدعى وبولندا الانجليزية مع, أن كرسي الأولية بعض. قائمة الأرض به، كل, أدنى قائمة هو ولم, لعدم الفترة يبق أن. كلّ لغزو مشارف الساحلية عن, الصفحة المشترك سنغافورة ان دار, قادة أمام القوى حيث لم. اوروبا الجنرال غير في, ولم مع لمحاكم واعتلاء الدولارات.</p>",ar,en,667448,"من به، مدينة الصفحة وتزويده. ما وجهان وباءت المواد هذه, جنوب عملية دار أم. كما الأول وتنامت والكساد عل. هذه حادثة العناد الأبرياء عل. فصل ان تاريخ الإتفاقية.",image|image,https://media.alj.com/app/uploads/2020/03/stories-detail.jpg|https://media.alj.com/app/uploads/2020/03/stories-detail.jpg,|,|,https://media.alj.com/app/uploads/2020/03/9.png,small-image,,https://media.alj.com/app/uploads/2020/03/3.png,03/22/1947,,alj,SA,ALJ,,1,"من به، مدينة الصفحة وتزويده. ما وجهان وباءت المواد هذه, جنوب عملية دار أم. كما الأول",,1,"2020-03-25 05:24:22",publish,journey-1-ar
64548,"1989 - Jameel Management Centre launches at the American University in Cairo","<p>The Abdul Latif Jameel Center for Middle East Management Studies at the American University in Cairo campus off Tahrir Square in the city, creates a new hub for the AUC’s business and management programs.</p>",en,,668165,"<p>The iconic Abdul Latif Jameel Center for Middle East Management Studies was founded in the heart of the old American University in Cairo.</p>",image|image|image,https://media.alj.com/app/uploads/2020/06/big-cairo-1.jpg|https://media.alj.com/app/uploads/2020/06/big-cairo-2.jpg|https://media.alj.com/app/uploads/2020/06/big-cairo-3.jpg,||,||,https://media.alj.com/app/uploads/2020/06/globe-cairo.jpg,big-image,https://media.alj.com/app/uploads/2020/06/big-cairo-1.jpg,https://media.alj.com/app/uploads/2020/06/small-cairo.jpg,01/01/1989,,cjameel,EG,"Community Jameel",,,,1,1,"2020-06-23 12:49:56",publish,jameel-management-centre-at-the-american-university-cairo
64622,"1945 - The story of our global family philanthropy begins . . .","<p>From our earliest days, our founder, the late Abdul Latif Jameel, pioneered active and positive social change in our local communities and far beyond, giving people the power to improve their lives and the lives of those around them - it was a philosophy that would permeate and underpin our activities from the very beginning.</p>
<p>In 1945, as a committed philanthropist, Abdul Latif Jameel establishes the Jameel family tradition of supporting the community,  with many small local initiatives which later became collectively known as the 'Abdul Latif Jameel Community Services Programs' and from these - and several name changes - developed into the Jameel Philanthropies of today including <a href=""https://www.babjameeljobs.com/EN/"">Bab Rizq Jameel</a>, <a href=""https://www.communityjameelsaudi.org/en"">Community Jameel Saudi</a>, <a href=""https://artjameel.org"">Art Jameel</a> and <a href=""https://communityjameel.org"">Community Jameel</a>.</p>",en,,668175,"<p>Successful businessman and committed philanthropist Abdul Latif Jameel establishes  the spirit of giving back to the community later to be known Abdul Latif Jameel Community Services Programs.</p>",image|image,https://media.alj.com/app/uploads/2020/06/social-initiatives-1945-1.jpg|https://media.alj.com/app/uploads/2020/06/big-story-begins2.jpg,|,|,https://media.alj.com/app/uploads/2020/06/social-initiatives-1945-1.jpg,big-image,https://media.alj.com/app/uploads/2020/06/social-initiatives-1945-1.jpg,,01/02/1945,,cjameel,SA,"Community Jameel",https://media.alj.com/app/uploads/2020/06/2017-Abdul-Latif-Jameel-Community-Initiatives-renames-Community-Jameel.png,,,1,1,"2020-06-29 08:42:35",publish,the-story-begins-2
64996,"1994 - Jameel-Toyota Scholarship established at MIT","<p>In 1994, Community Jameel established the Abdul Latif Jameel-Toyota Endowed Scholarship at the Massachusetts Institute of Technology (MIT) to provide financial support for undergraduate students from more than 25 countries in the Middle East, North Africa and Asia.</p>
<p>The scholarship is named in honour of the late Abdul Latif Jameel, founder of the Abdul Latif Jameel business, and of the Toyota Motor Corporation, in recognition of the longstanding friendship and partnership between those two organisations.</p>
<p>The Jameel-Toyota Scholarship at MIT embodies the principles of Community Jameel to help young people achieve their potential through education, at one of the World’s leading academic institutions.</p>
<p>Since its establishment, the Jameel-Toyota Scholarship has supported over 180 MIT students, many of whom have gone on to establish successful businesses, and to give back to their communities with innovative, pro-social initiatives.</p>",en,,668230,"<p>The Jameel-Toyota Scholarship at MIT embodies the principles of Community Jameel to help young people achieve their potential through education</p>",image,https://media.alj.com/app/uploads/2020/06/big-toyota-scholarship.jpg,,,https://media.alj.com/app/uploads/2020/06/globe-toyota-scholarship.jpg,big-image,https://media.alj.com/app/uploads/2020/06/1994-Jameel-Toyota-Scholarship-established-at-MIT-scaled.jpg,,01/01/1994,,cjameel,US,"Community Jameel",,,,1,1,"2020-06-29 09:00:51",publish,jameel-toyota-scholarship-established-at-mit
64998,"2003 - Bab Rizq Jameel is established","<p>Bab Rizq Jameel, meaning ‘beautiful gateway to prosperity’, is our first livelihoods initiative and is launched in Saudi Arabia to broaden the prospects of promising young men and women.</p>
<p>Bab Rizq Jameel ""Taxi Ownership"" small business Initiative launched.</p>
<p><strong>Abdul Latif Jameel Community Services Programs</strong> also established, bringing global philanthropy efforts together and to 'house' family philanthropic activities.</p>
<p>&nbsp;</p>",en,,668232,"<p>Our first livelihoods initiative—meaning ‘beautiful gateway to prosperity’—is launched in Saudi Arabia to broaden the prospects of promising young men and women.</p>",image|image|image|image,https://media.alj.com/app/uploads/2020/06/big-bab.jpg|https://media.alj.com/app/uploads/2020/06/big-bab2.jpg|https://media.alj.com/app/uploads/2020/06/big-bab3-2.jpg|https://media.alj.com/app/uploads/2020/06/ALJ-Community-Service-Programs-logo-scaled.jpg,|||,|||,https://media.alj.com/app/uploads/2020/06/globe-bab.jpg,big-image,https://media.alj.com/app/uploads/2020/06/2003-Bab-Rizq-Jameel-established.jpeg,,01/01/2003,,cjameel,SA,"Bab Rizq Jameel",,,,1,1,"2020-06-29 09:12:45",publish,bab-rizq-jameel-is-established
64999,"2005 - Abdul Latif Jameel Poverty Action Lab (J-PAL) established","<p>Partnership with MIT's Poverty Action Lab begins - renamed Abdul Latif Jameel Poverty Action Lab (J-PAL). The global research center continues conducting randomized impact evaluations to answer critical questions in the fight against poverty, with the support of Community Jameel.</p>",en,,668233,"<p>Partnership with MIT's Poverty Action Lab begins - renamed Abdul Latif Jameel Poverty Action Lab (J-PAL).</p>",image|image,https://media.alj.com/app/uploads/2020/06/big-jpal.jpg|https://media.alj.com/app/uploads/2020/06/big-jpal-2.jpg,|,|,https://media.alj.com/app/uploads/2020/06/globe-jpal.jpg,big-image,https://media.alj.com/app/uploads/2020/06/big-jpal.jpg,https://media.alj.com/app/uploads/2020/06/small-jpal.jpg,01/01/2005,,cjameel,US,JPAL,,,,1,1,"2020-06-29 09:19:08",publish,cj-75-year-milestones-v1-1-cj-75-year-milestones-v1-1-xlsx-100-10-abdul-latif-jameel-poverty-action-lab-j-pal-established-screen-reader-support-enabled-to-enable-screen-reader-support-press-ctrl
65000,"2006 - Art Jameel established","<p>Jameel Gallery of Islamic Art at the Victoria and Albert Museum, London re-opens: visitors flood in to appreciate the many priceless Islamic artworks and artefacts showcased in the beautifully refurbished location.</p>
<p>Community Jameel cofounds the MIT Enterprise Forum Arab Startup Competition: the annual competition empowers entrepreneurs and fosters an ecosystem of innovation and entrepreneurship in the Arab world.</p>",en,,668234,"<p>Founded by Community Jameel President, International, Fady Jameel, Art Jameel was established to foster and promote contemporary art, cultural heritage protection, and creative entrepreneurship across the Middle East, North Africa, Turkey and beyond.</p>",image|image|image,https://media.alj.com/app/uploads/2020/06/big-art.jpg|https://media.alj.com/app/uploads/2020/06/big-art-2.jpg|https://media.alj.com/app/uploads/2020/06/big-art-3.jpg,||,||,https://media.alj.com/app/uploads/2020/06/globe-art.jpg,big-image,https://media.alj.com/app/uploads/2020/06/feature-art.jpg,,01/01/2006,,cjameel,SA,"Art Jameel",,,,1,1,"2020-06-29 09:25:25",publish,art-jameel-established
65001,"2009 - Jameel House of Traditional Arts in Cairo launches","<p>The center teaches young Egyptians traditional Islamic geometry and craftsmanship, including ceramics, glass and gypsum and much more, preserving artisan techniques for future generations.</p>
<p>Bab Rizq Jameel Egypt established: our flagship job creation initiative expands to Egypt and begins helping men and women find employment.</p>",en,,668235,"<p><span data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;The centre teaches young Egyptians traditional Islamic geometry and craftsmanship, including ceramics, glass and gypsum and much more.&quot;}"" data-sheets-userformat=""{&quot;2&quot;:12797,&quot;3&quot;:{&quot;1&quot;:0,&quot;3&quot;:1},&quot;5&quot;:{&quot;1&quot;:[{&quot;1&quot;:2,&quot;2&quot;:0,&quot;5&quot;:{&quot;1&quot;:2,&quot;2&quot;:0}},{&quot;1&quot;:0,&quot;2&quot;:0,&quot;3&quot;:3},{&quot;1&quot;:1,&quot;2&quot;:0,&quot;4&quot;:1}]},&quot;6&quot;:{&quot;1&quot;:[{&quot;1&quot;:2,&quot;2&quot;:0,&quot;5&quot;:{&quot;1&quot;:2,&quot;2&quot;:0}},{&quot;1&quot;:0,&quot;2&quot;:0,&quot;3&quot;:3},{&quot;1&quot;:1,&quot;2&quot;:0,&quot;4&quot;:1}]},&quot;7&quot;:{&quot;1&quot;:[{&quot;1&quot;:2,&quot;2&quot;:0,&quot;5&quot;:{&quot;1&quot;:2,&quot;2&quot;:0}},{&quot;1&quot;:0,&quot;2&quot;:0,&quot;3&quot;:3},{&quot;1&quot;:1,&quot;2&quot;:0,&quot;4&quot;:1}]},&quot;8&quot;:{&quot;1&quot;:[{&quot;1&quot;:2,&quot;2&quot;:0,&quot;5&quot;:{&quot;1&quot;:2,&quot;2&quot;:0}},{&quot;1&quot;:0,&quot;2&quot;:0,&quot;3&quot;:3},{&quot;1&quot;:1,&quot;2&quot;:0,&quot;4&quot;:1}]},&quot;9&quot;:0,&quot;10&quot;:0,&quot;11&quot;:4,&quot;15&quot;:&quot;Arial&quot;,&quot;16&quot;:10}"">Aiming to preserve the heritage and craftsmanship of traditional artisan skills.</span></p>",image|image|image,https://media.alj.com/app/uploads/2020/06/big-traditional-1.jpg|https://media.alj.com/app/uploads/2020/06/big-traditional-2.jpg|https://media.alj.com/app/uploads/2020/06/big-traditional-3.jpg,||,||,https://media.alj.com/app/uploads/2020/06/globe-traditional.jpg,big-image,https://media.alj.com/app/uploads/2020/06/2009-Jameel-House-of-Traditional-Arts-in-Cairo-launches-scaled.jpg,https://media.alj.com/app/uploads/2020/06/small-traditional.jpg,01/01/2009,,cjameel,EG,"Art Jameel",,,,1,1,"2020-06-29 09:31:41",publish,cj-75-year-milestones-v1-1-cj-75-year-milestones-v1-1-xlsx-100-10-jameel-house-of-traditional-arts-in-cairo-launches-screen-reader-support-enabled-to-enable-screen-reader-support-press-ctrlaltz-t
65002,"2010 - Bab Rizq Jameel Turkey established","<p><span data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Bab Rizq Jameel Turkey established: launched the Istanbul job creation activity, which helped Turkish men and women into jobs over eight years.&quot;}"" data-sheets-userformat=""{&quot;2&quot;:12797,&quot;3&quot;:{&quot;1&quot;:0,&quot;3&quot;:1},&quot;5&quot;:{&quot;1&quot;:[{&quot;1&quot;:2,&quot;2&quot;:0,&quot;5&quot;:{&quot;1&quot;:2,&quot;2&quot;:0}},{&quot;1&quot;:0,&quot;2&quot;:0,&quot;3&quot;:3},{&quot;1&quot;:1,&quot;2&quot;:0,&quot;4&quot;:1}]},&quot;6&quot;:{&quot;1&quot;:[{&quot;1&quot;:2,&quot;2&quot;:0,&quot;5&quot;:{&quot;1&quot;:2,&quot;2&quot;:0}},{&quot;1&quot;:0,&quot;2&quot;:0,&quot;3&quot;:3},{&quot;1&quot;:1,&quot;2&quot;:0,&quot;4&quot;:1}]},&quot;7&quot;:{&quot;1&quot;:[{&quot;1&quot;:2,&quot;2&quot;:0,&quot;5&quot;:{&quot;1&quot;:2,&quot;2&quot;:0}},{&quot;1&quot;:0,&quot;2&quot;:0,&quot;3&quot;:3},{&quot;1&quot;:1,&quot;2&quot;:0,&quot;4&quot;:1}]},&quot;8&quot;:{&quot;1&quot;:[{&quot;1&quot;:2,&quot;2&quot;:0,&quot;5&quot;:{&quot;1&quot;:2,&quot;2&quot;:0}},{&quot;1&quot;:0,&quot;2&quot;:0,&quot;3&quot;:3},{&quot;1&quot;:1,&quot;2&quot;:0,&quot;4&quot;:1}]},&quot;9&quot;:0,&quot;10&quot;:0,&quot;11&quot;:4,&quot;15&quot;:&quot;Arial&quot;,&quot;16&quot;:10}"">Bab Rizq Jameel is established in Turkey with offices in Istanbul and opened by Mr. Mohammed Jameel.  The successful Community Jameel job creation activity is set to help Turkish men and women into jobs over the next eight years.</span></p>",en,,668236,"<p><span data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Bab Rizq Jameel Turkey established: launched the Istanbul job creation activity, which helped Turkish men and women into jobs over eight years.&quot;}"" data-sheets-userformat=""{&quot;2&quot;:12797,&quot;3&quot;:{&quot;1&quot;:0,&quot;3&quot;:1},&quot;5&quot;:{&quot;1&quot;:[{&quot;1&quot;:2,&quot;2&quot;:0,&quot;5&quot;:{&quot;1&quot;:2,&quot;2&quot;:0}},{&quot;1&quot;:0,&quot;2&quot;:0,&quot;3&quot;:3},{&quot;1&quot;:1,&quot;2&quot;:0,&quot;4&quot;:1}]},&quot;6&quot;:{&quot;1&quot;:[{&quot;1&quot;:2,&quot;2&quot;:0,&quot;5&quot;:{&quot;1&quot;:2,&quot;2&quot;:0}},{&quot;1&quot;:0,&quot;2&quot;:0,&quot;3&quot;:3},{&quot;1&quot;:1,&quot;2&quot;:0,&quot;4&quot;:1}]},&quot;7&quot;:{&quot;1&quot;:[{&quot;1&quot;:2,&quot;2&quot;:0,&quot;5&quot;:{&quot;1&quot;:2,&quot;2&quot;:0}},{&quot;1&quot;:0,&quot;2&quot;:0,&quot;3&quot;:3},{&quot;1&quot;:1,&quot;2&quot;:0,&quot;4&quot;:1}]},&quot;8&quot;:{&quot;1&quot;:[{&quot;1&quot;:2,&quot;2&quot;:0,&quot;5&quot;:{&quot;1&quot;:2,&quot;2&quot;:0}},{&quot;1&quot;:0,&quot;2&quot;:0,&quot;3&quot;:3},{&quot;1&quot;:1,&quot;2&quot;:0,&quot;4&quot;:1}]},&quot;9&quot;:0,&quot;10&quot;:0,&quot;11&quot;:4,&quot;15&quot;:&quot;Arial&quot;,&quot;16&quot;:10}"">The successful Community Jameel job creation activity is set to help Turkish men and women into jobs </span></p>",image,https://media.alj.com/app/uploads/2020/06/big-rturkey.jpg,,,https://media.alj.com/app/uploads/2020/06/globe-rturkey.jpg,big-image,https://media.alj.com/app/uploads/2020/06/big-rturkey.jpg,,01/01/2010,,cjameel,TR,"Bab Rizq Jameel",,,,1,1,"2020-06-29 09:42:52",publish,bab-rizq-jameel-turkey-established
65003,"2011 - Jeddah Sculpture Museum opens","<p><span data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Jeddah Sculpture Museum opens: located on the Corniche, the museum brings together and restores more than twenty of Jeddah's world-famous sculptures, in partnership with Jeddah Municipality.\n\nBab Rizq Jameel Morocco established: the livelihoods initiative continues to expand, this time bringing more job opportunities to North Africa.&quot;}"" data-sheets-userformat=""{&quot;2&quot;:12797,&quot;3&quot;:{&quot;1&quot;:0,&quot;3&quot;:1},&quot;5&quot;:{&quot;1&quot;:[{&quot;1&quot;:2,&quot;2&quot;:0,&quot;5&quot;:{&quot;1&quot;:2,&quot;2&quot;:0}},{&quot;1&quot;:0,&quot;2&quot;:0,&quot;3&quot;:3},{&quot;1&quot;:1,&quot;2&quot;:0,&quot;4&quot;:1}]},&quot;6&quot;:{&quot;1&quot;:[{&quot;1&quot;:2,&quot;2&quot;:0,&quot;5&quot;:{&quot;1&quot;:2,&quot;2&quot;:0}},{&quot;1&quot;:0,&quot;2&quot;:0,&quot;3&quot;:3},{&quot;1&quot;:1,&quot;2&quot;:0,&quot;4&quot;:1}]},&quot;7&quot;:{&quot;1&quot;:[{&quot;1&quot;:2,&quot;2&quot;:0,&quot;5&quot;:{&quot;1&quot;:2,&quot;2&quot;:0}},{&quot;1&quot;:0,&quot;2&quot;:0,&quot;3&quot;:3},{&quot;1&quot;:1,&quot;2&quot;:0,&quot;4&quot;:1}]},&quot;8&quot;:{&quot;1&quot;:[{&quot;1&quot;:2,&quot;2&quot;:0,&quot;5&quot;:{&quot;1&quot;:2,&quot;2&quot;:0}},{&quot;1&quot;:0,&quot;2&quot;:0,&quot;3&quot;:3},{&quot;1&quot;:1,&quot;2&quot;:0,&quot;4&quot;:1}]},&quot;9&quot;:0,&quot;10&quot;:0,&quot;11&quot;:4,&quot;15&quot;:&quot;Arial&quot;,&quot;16&quot;:10}"">The Jeddah Sculpture Museum opens, located on the Jeddah Corniche. The museum brings together and restores more than twenty of Jeddah's world-famous sculptures, from Community Jameel in partnership with Jeddah Municipality.<br />
<br />
Bab Rizq Jameel Morocco established: the livelihoods initiative continues to expand, this time bringing more job opportunities to North Africa.</span></p>",en,,668237,"<p><span data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;Located on the Corniche, the museum brings together and restores more than twenty of Jeddah's world-famous sculptures, in partnership with Jeddah Municipality.&quot;}"" data-sheets-userformat=""{&quot;2&quot;:12797,&quot;3&quot;:{&quot;1&quot;:0,&quot;3&quot;:1},&quot;5&quot;:{&quot;1&quot;:[{&quot;1&quot;:2,&quot;2&quot;:0,&quot;5&quot;:{&quot;1&quot;:2,&quot;2&quot;:0}},{&quot;1&quot;:0,&quot;2&quot;:0,&quot;3&quot;:3},{&quot;1&quot;:1,&quot;2&quot;:0,&quot;4&quot;:1}]},&quot;6&quot;:{&quot;1&quot;:[{&quot;1&quot;:2,&quot;2&quot;:0,&quot;5&quot;:{&quot;1&quot;:2,&quot;2&quot;:0}},{&quot;1&quot;:0,&quot;2&quot;:0,&quot;3&quot;:3},{&quot;1&quot;:1,&quot;2&quot;:0,&quot;4&quot;:1}]},&quot;7&quot;:{&quot;1&quot;:[{&quot;1&quot;:2,&quot;2&quot;:0,&quot;5&quot;:{&quot;1&quot;:2,&quot;2&quot;:0}},{&quot;1&quot;:0,&quot;2&quot;:0,&quot;3&quot;:3},{&quot;1&quot;:1,&quot;2&quot;:0,&quot;4&quot;:1}]},&quot;8&quot;:{&quot;1&quot;:[{&quot;1&quot;:2,&quot;2&quot;:0,&quot;5&quot;:{&quot;1&quot;:2,&quot;2&quot;:0}},{&quot;1&quot;:0,&quot;2&quot;:0,&quot;3&quot;:3},{&quot;1&quot;:1,&quot;2&quot;:0,&quot;4&quot;:1}]},&quot;9&quot;:0,&quot;10&quot;:0,&quot;11&quot;:4,&quot;15&quot;:&quot;Arial&quot;,&quot;16&quot;:10}"">Community Jameel brings together and restores more than twenty of Jeddah's world-famous sculptures, in partnership with Jeddah Municipality.</span></p>",image|image|image|image,https://media.alj.com/app/uploads/2020/06/big-museum-1.jpg|https://media.alj.com/app/uploads/2020/06/big-museum-2.jpg|https://media.alj.com/app/uploads/2020/06/big-museum-3.jpg|https://media.alj.com/app/uploads/2020/06/big-museum-4.jpg,|||,|||,https://media.alj.com/app/uploads/2020/06/globe-museum.jpg,big-image,https://media.alj.com/app/uploads/2020/06/2011-Jeddah-Sculpture-Museum-2-scaled.jpg,https://media.alj.com/app/uploads/2020/06/small-museum.jpg,01/01/2011,,cjameel,SA,"Art Jameel",,,,1,1,"2020-06-29 09:51:24",publish,jeddah-sculpture-museum-opens
